ctid,date,nginx-access-*,ssh-*,telnet-*,ftp-*,total
615,2019-10-12,1861,9821,2453,3,14138
615,2019-10-13,737,9207,1748,2,11694
615,2019-10-14,1195,9082,2278,1,12556
615,2019-10-15,360,15653,1978,1,17992
615,2019-10-16,931,24511,1556,0,26998
615,2019-10-17,617,9019,2030,2,11668
615,2019-10-18,990,15494,2007,1,18492
615,2019-10-19,378,8943,1656,1,10978
615,2019-10-20,496,3344,1781,1,5622
615,2019-10-21,677,10883,1546,1,13107
615,2019-10-22,372,7059,2328,1,9760
615,2019-10-23,383,9160,1308,4,10855
615,2019-10-24,459,14142,2377,1,16979
615,2019-10-25,494,11430,1479,2,13405
615,2019-10-26,620,14169,1701,1,16491
615,2019-10-27,2352,16927,1423,0,20702
615,2019-10-28,685,14772,1738,1,17196
615,2019-10-29,1435,27671,1608,1,30715
615,2019-10-30,658,21648,1354,1,23661
615,2019-10-31,744,20801,1893,0,23438
615,2019-11-01,378,39910,1474,1,41763
615,2019-11-02,1594,20036,1219,4,22853
615,2019-11-03,429,38248,1110,0,39787
615,2019-11-04,403,15244,1553,75,17275
615,2019-11-05,371,3494,1150,0,5015
615,2019-11-06,421,15228,1085,2,16736
615,2019-11-07,457,17605,1382,2,19446
615,2019-11-08,399,10770,974,0,12143
615,2019-11-09,449,9794,2133,0,12376
615,2019-11-10,325,25830,896,0,27051
615,2019-11-11,377,17875,1571,0,19823
615,2019-11-12,475,23088,2583,5,26151
615,2019-11-13,1249,14907,1796,2,17954
615,2019-11-14,392,13771,2040,0,16203
615,2019-11-15,302,5269,2973,2,8546
615,2019-11-16,1752,2769,3126,1,7648
615,2019-11-17,1408,4984,3293,4,9689
615,2019-11-18,1112,2851,2991,1,6955
615,2019-11-19,493,3757,2936,1,7187
615,2019-11-20,1599,2041,2463,0,6103
615,2019-11-21,361,4292,1582,0,6235
615,2019-11-22,356,9664,1486,8,11514
615,2019-11-23,960,7550,2224,0,10734
615,2019-11-24,439,10959,1768,1,13167
615,2019-11-25,1298,11809,1912,2,15021
615,2019-11-26,869,7145,2145,0,10159
615,2019-11-27,268,7088,1083,4,8443
615,2019-11-28,792,9375,750,1,10918
616,2019-08-01,48,38896,304,0,39248
616,2019-08-02,79,37576,462,0,38117
616,2019-08-03,235,9765,66,0,10066
616,2019-08-04,52,1249,291,1,1593
616,2019-08-05,308,14137,385,1,14831
616,2019-08-06,405,5868,555,2,6830
616,2019-08-07,89,6652,322,1,7064
616,2019-08-08,345,2957,320,0,3622
616,2019-08-09,59,2051,333,1,2444
616,2019-08-10,58,1424,123,0,1605
616,2019-08-11,111,1548,156,1,1816
616,2019-08-12,48,15821,106,0,15975
616,2019-08-13,48,18309,195,0,18552
616,2019-08-14,75,3635,151,1,3862
616,2019-08-15,44,1988,3,0,2035
616,2019-08-16,52,4197,120,1,4370
616,2019-08-17,193,3764,125,0,4082
616,2019-08-18,104,3662,1491,2,5259
616,2019-08-19,914,16154,1264,2,18334
616,2019-08-20,292,19441,1385,1,21119
616,2019-08-21,1265,13334,1442,0,16041
616,2019-08-22,937,19146,1095,0,21178
616,2019-08-23,90,24707,991,1,25789
616,2019-08-24,113,18870,1360,0,20343
616,2019-08-25,108,28661,1921,2,30692
616,2019-08-26,100,28400,1624,1,30125
616,2019-08-27,90,22953,2613,0,25656
616,2019-08-28,407,21338,1350,4,23099
616,2019-08-29,134,13992,2048,1,16175
616,2019-08-30,122,4949,1262,1,6334
616,2019-08-31,22,527,1,0,550
616,2019-09-01,155,873,93,0,1121
616,2019-09-02,17,1143,8,0,1168
616,2019-09-03,89,1390,1342,1,2822
616,2019-09-04,92,13198,3018,2,16310
616,2019-09-05,127,8382,1913,1,10423
616,2019-09-06,144,17268,2400,1,19813
616,2019-09-07,1903,7517,2561,0,11981
616,2019-09-08,312,31217,2794,0,34323
616,2019-09-09,1912,10548,2355,0,14815
616,2019-09-10,88,9796,1603,0,11487
616,2019-09-11,111,13677,1546,2,15336
616,2019-09-12,64,8859,2177,2,11102
616,2019-09-13,131,6460,2251,2,8844
616,2019-09-14,450,6736,1374,1,8561
616,2019-09-15,81,14714,2200,1,16996
616,2019-09-16,1022,17335,2368,6,20731
616,2019-09-17,915,13080,2150,15,16160
616,2019-09-18,73,12794,1032,10,13909
616,2019-09-19,285,12836,1712,8,14841
616,2019-09-20,214,14564,769,7,15554
616,2019-09-21,64,5736,1317,4,7121
616,2019-09-22,71,14546,2345,7,16969
616,2019-09-23,1068,11676,2114,1,14859
616,2019-09-24,125,35608,1415,2,37150
616,2019-09-25,180,18791,1561,3,20535
616,2019-09-26,949,15426,1656,0,18031
616,2019-09-27,203,10628,1782,3,12616
616,2019-09-28,127,16910,2573,10,19620
616,2019-09-29,100,23643,1510,2,25255
616,2019-09-30,926,16422,2319,3,19670
